MJD,i:magpsf,i:sigmapsf,Filter,r,delta,alpha
59922.15152781131,18.479,0.095,ZTF-g,18.818,18.381,2.718
59922.201446711086,18.058,0.055,ZTF-r,18.818,18.382,2.72
59928.15032411087,18.071,0.055,ZTF-r,18.817,18.476,2.837
59928.196794011164,18.428,0.071,ZTF-g,18.817,18.477,2.838
59934.181458311155,18.478,0.082,ZTF-g,18.816,18.576,2.923
59934.237280111294,18.122,0.064,ZTF-r,18.816,18.577,2.924
59936.12561341096,18.458,0.066,ZTF-g,18.816,18.608,2.944
59936.16458331095,18.115,0.073,ZTF-r,18.816,18.609,2.944
59951.13212961098,18.436,0.08,ZTF-g,18.813,18.864,2.986
59956.131493011024,18.092,0.065,ZTF-r,18.812,18.949,2.954
