MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,delta,r,alpha,reduced_mag,reduced_dmag,MJDCorrected,3sig limiting mag
57630.478676,18.265,0.077,179,14,c,0,1.36,352.20876,1.41965,7336.35,1289.93,3.78,3.64,89.2,-0.414,19.68,21.66,02a57630o0444c,17.4249193478792,18.39428571088,0.9041,5.735731477301872,0.077,57630.37803805888,25.490970050269638
57630.484326,18.225,0.079,186,15,c,0,1.05,352.20853,1.41955,7315.51,1255.94,3.91,3.82,-5.1,-0.4,19.62,21.65,02a57630o0454c,17.4248973936355,18.3942887951,0.9038,5.695733849118271,0.079,57630.38368818568,25.46312913497474
57630.507833,18.424,0.099,155,15,c,0,1.06,352.20757000000003,1.41915,7373.72,1332.27,3.85,3.69,-89.6,-0.408,19.65,21.62,02a57630o0495c,17.4248066897868,18.39430162697,0.9026,5.8947436377457425,0.099,57630.407195709544,25.218108876706967
57630.51815599999,18.487000000000002,0.10400000000000001,146,15,c,0,1.2,352.20715,1.41897,7396.55,1213.91,3.83,3.68,-86.1,-0.414,19.64,21.61,02a57630o0513c,17.4247671786255,18.39430726198,0.9021,5.957747896395857,0.10400000000000001,57630.41751893773,25.164613514953892
57630.533882,18.214000000000002,0.08800000000000001,188,16,c,0,0.81,352.2065,1.4187,7358.25,1271.38,3.91,3.73,-86.4,-0.406,19.62,21.62,02a57630o0541c,17.4247073557475,18.39431584626,0.9013,5.684754338143161,0.08800000000000001,57630.43324528325,25.34599018282542
57638.458187000004,18.423,0.099,155,15,c,0,1.11,351.88244,1.27766,9301.61,2424.88,3.84,3.61,75.2,-0.41100000000000003,19.64,21.57,02a57638o0433c,17.4030953826001,18.3986315958,0.4995,5.895939880572991,0.099,57638.357675103594,25.218108876706967
57638.463184,18.465,0.094,149,14,c,0,1.61,351.88223,1.27757,9278.6,2379.7,3.88,3.64,72.3,-0.415,19.63,21.58,02a57638o0443c,17.4030877187998,18.39863431106,0.4993,5.937940516359719,0.094,57638.36267214786,25.274377229201598
57638.486149000004,18.410999999999998,0.095,157,15,c,0,1.16,351.88126,1.27714,9336.39,2458.11,3.81,3.41,81.7,-0.436,19.67,21.57,02a57638o0486c,17.4030530976459,18.39864678967,0.4981,5.883943363453211,0.095,57638.38563734781,25.262887849978725
57638.49649500001,18.308,0.092,173,16,c,0,1.08,351.88082,1.27695,9361.86,2340.05,3.82,3.44,83.4,-0.433,19.65,21.54,02a57638o0504c,17.4030378185402,18.39865241137,0.4976,5.780944606417611,0.092,57638.395983436065,25.297727294836953
57638.511689,18.348,0.096,166,16,c,0,1.17,351.88018,1.27668,9325.27,2399.1,3.82,3.45,83.8,-0.428,19.6,21.45,02a57638o0533c,17.4030157300383,18.39866066727,0.4969,5.82094638813323,0.096,57638.41117756363,25.25151878060192
57650.436316,18.291,0.231,175,40,o,0,0.95,351.38363,1.05102,8361.95,1924.41,3.61,3.28,83.5,-0.47100000000000003,18.55,19.38,02a57650o0402o,17.4059961561065,18.40511777107,0.329,5.762812579787539,0.231,57650.33578735012,24.29816691347048
57650.441318,18.274,0.17800000000000002,178,32,o,0,1.33,351.38342,1.05092,8342.13,1881.86,3.58,3.24,85.1,-0.479,18.56,19.38,02a57650o0412o,17.4060065632672,18.40512047025,0.3292,5.745810962995547,0.17800000000000002,57650.340789290014,24.581146857428607
57650.462913999996,17.903,0.14300000000000002,250,36,o,0,1.12,351.38251,1.05051,8404.61,1958.56,3.54,3.16,88.5,-0.48200000000000004,18.56,19.36,02a57650o0455o,17.4060520274162,18.40513212381,0.3301,5.374803916249899,0.14300000000000002,57650.36238502743,24.818856769538186
